,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
0,katrina9275,spammer,-0.0031532580574289426,4.5233487414451875e-24,0.0,0.0,1,0.00016807664294921123,0.00016807664294921123
1,JakeSheridan_,,3.597083093609399e-07,4.5233487414451875e-24,0.0,0.0,1,0.00016807664294921123,0.00016807664294921123
2,monitor_PH,spammer,3.597083093609399e-07,4.5233487414451875e-24,0.0,0.0,1,0.00016807664294921123,0.00016807664294921123
3,GMHC,,3.597083093609399e-07,3.0355679551421625e-16,0.0,0.0007037297677691766,2,0.0011205109529945447,0.0011205109529945447
4,Not_the_Bee,other,3.5892194993891735e-07,0.00010951382525805157,0.0001694898454768017,0.013370865587614356,2,0.010413670268741503,0.010413670268741503
5,JasonCianciotto,self_declared,0.0031470997425167013,4.5233487414451875e-24,0.0,0.0,1,0.00016807664294921123,0.00016807664294921123
6,jillmarette99,spammer,-0.0031532580574289426,4.5233487414451875e-24,0.0,0.0,1,0.00016807664294921123,0.00016807664294921123
7,All435Reps,spammer,-0.0031532580574289426,9.11004169527991e-11,0.0,0.00211118930330753,2,0.0006882235308842677,0.0006882235308842677
8,RepMikeQuigley,other,3.597083093609399e-07,2.084601349158537e-10,1.3876361617983764e-05,0.0036191816628129083,2,0.003067616852734336,0.003067616852734336
9,7thgenflgirl,spammer,3.597083093609399e-07,9.11004169527991e-11,0.0,0.00211118930330753,2,0.0006882235308842677,0.0006882235308842677
10,TimJoeC,spammer,-0.0031532580574289426,9.11004169527991e-11,0.0,0.00211118930330753,2,0.0006882235308842677,0.0006882235308842677
11,LGBTEqCaucus,,0.006286992763826049,1.1260632597362264e-10,4.955843434994202e-06,0.002533427163969036,2,0.0013008007554778241,0.0013008007554778241
12,equalhope_il,spammer,-0.0031532580574289426,2.7174368769544344e-11,0.0,0.0019487901261300278,2,0.0006857458140286557,0.0006857458140286557
13,CookCoHealth,spammer,-0.0031532580574289426,5.8038452440192104e-11,1.2885192930984925e-05,0.003166783954961295,2,0.002438204689761536,0.002438204689761536
14,chicovidcollab,spammer,-0.0031532580574289426,2.7174368769544344e-11,0.0,0.0019487901261300278,2,0.0006857458140286557,0.0006857458140286557
15,outseide,spammer,-0.0031532580574289426,4.5233487414451875e-24,0.0,0.0,1,0.00016807664294921123,0.00016807664294921123
